BA9_CODDOE;BA9_DOENCA;BA9_ABREVI;BA9_RESTSE;BA9_CAUOBT;BA9_REFERE
R944;RESULTADOS ANORMAIS DE ESTUDOS DE FUNCAO RENAL;R94.4 RESULTADOS ANORMAIS;;;
R945;RESULTADOS ANORMAIS DE ESTUDOS DE FUNCAO HEPATICA;R94.5 RESULTADOS ANORMAIS;;;
R946;RESULTADOS ANORMAIS DE ESTUDOS DE FUNCAO TIREOIDIANA;R94.6 RESULTADOS ANORM ES;;;
R947;RESULTADOS ANORMAIS DE ESTUDOS DE FUNCAO DE OUTRAS GLANDULAS ENDOCRINAS;R94.7 RESULT ANORM ESTUDO;;;
R948;RESULTADOS ANORMAIS DE ESTUDOS DE FUNCAO DE OUTROS ORGAOSAPARELHOS E SISTEMAS;R94.8 RESULT ANORM ESTUDO;;;
R95;SINDROME DA MORTE SUBITA NA INFANCIA;R95 SINDR DA MORTE SUBI;;;
R95;SINDROME DA MORTE SUBITA NA INFANCIA;R95 SINDR DA MORTE SUBI;;;
R96;OUTRAS MORTES SUBITAS DE CAUSA DESCONHECIDA;R96 OUTR MORTES SUBITAS;;;
R960;MORTE INSTANTANEA;R96.0 MORTE INSTANTANEA;;;
R961;MORTE QUE OCORRE EM MENOS DE 24 HORAS APOS O INICIO DOS SINTOMASQUE NAO PODE SER EXPLICADA;R96.1 MORTE OCORR MENOS 2;;;
R98;MORTE SEM ASSISTENCIA;R98 MORTE S ASSIST;;;
R98;MORTE SEM ASSISTENCIA;R98 MORTE S ASSIST;;;
R99;OUTRAS CAUSAS MAL DEFINIDAS E AS NAO ESPECIFICADAS DE MORTALIDADE;R99 OUTR CAUSAS MAL DEF;;;
R99;OUTRAS CAUSAS MAL DEFINIDAS E AS NAO ESPECIFICADAS DE MORTALIDADE;R99 OUTR CAUSAS MAL DEF;;;
S00;TRAUMATISMO SUPERFICIAL DA CABECA;S00 TRAUM SUPERF DA CAB;;;
S000;TRAUMATISMO SUPERFICIAL DO COURO CABELUDO;S00.0 TRAUM SUPERF DO COU;;N;
S001;CONTUSAO DA PALPEBRA E DA REGIAO PERIOCULAR;S00.1 CONTUSAO DA PALPEBR;;N;
S002;OUTROS TRAUMATISMOS SUPERFICIAIS DA PALPEBRA E DA REGIAO PERIOCULAR;S00.2 OUTR TRAUM SUPERF P;;N;
S003;TRAUMATISMO SUPERFICIAL DO NARIZ;S00.3 TRAUM SUPERF DO NAR;;N;
S004;TRAUMATISMO SUPERFICIAL DO OUVIDO;S00.4 TRAUM SUPERF DO OUV;;N;
S005;TRAUMATISMO SUPERFICIAL DOS LABIOS E DA CAVIDADE ORAL;S00.5 TRAUM SUPERF DOS LA;;N;
S007;TRAUMATISMOS SUPERFICIAIS MULTIPLOS DA CABECA;S00.7 TRAUM SUPERF MULT D;;N;
S008;TRAUMATISMO SUPERFICIAL DE OUTRAS PARTES DA CABECA;S00.8 TRAUM SUPERF DE OUT;;N;
S009;TRAUMATISMO SUPERFICIAL DA CABECAPARTE NAO ESPECIFICADA;S00.9 TRAUM SUPERF DA CAB;;N;
S01;FERIMENTO DA CABECA;S01 FERIM DA CABECA;;;
S010;FERIMENTO DO COURO CABELUDO;S01.0 FERIM DO COURO CABE;;;
S011;FERIMENTO DA PALPEBRA E DA REGIAO PERIOCULAR;S01.1 FERIM DA PALPEBRA E;;;
S012;FERIMENTO DO NARIZ;S01.2 FERIM DO NARIZ;;;
S013;FERIMENTO DO OUVIDO;S01.3 FERIM DO OUVIDO;;;
S014;FERIMENTO DA BOCHECHA E REGIAO TEMPORO MANDIBULAR;S01.4 FERIM BOCHECHA E RE;;;
S015;FERIMENTO DO LABIO E DA CAVIDADE ORAL;S01.5 FERIM DO LABIO E DA;;;
S017;FERIMENTOS MULTIPLOS DA CABECA;S01.7 FERIM MULT DA CABEC;;;
S018;FERIMENTO NA CABECADE OUTRAS LOCALIZACOES;S01.8 FERIM NA CABECA DE;;;
S019;FERIMENTO NA CABECAPARTE NAO ESPECIFICADA;S01.9 FERIM NA CABECA PAR;;;
S02;FRATURA DO CRANIO E DOS OSSOS DA FACE;S02 FRAT DO CRANIO E DO;;;
S020;FRATURA DA ABOBADA DO CRANIO;S02.0 FRAT DA ABOBADA DO;;;
S021;FRATURA DA BASE DO CRANIO;S02.1 FRAT DA BASE DO CRA;;;
S022;FRATURA DOS OSSOS NASAIS;S02.2 FRAT DOS OSSOS NASA;;;
S023;FRATURA DO ASSOALHO ORBITAL;S02.3 FRAT DO ASSOALHO OR;;;
S024;FRATURA DOS OSSOS MALARES E MAXILARES;S02.4 FRAT DOS OSSOS MALA;;;
S025;FRATURA DE DENTES;S02.5 FRAT DE DENTES;;;
S026;FRATURA DE MANDIBULA;S02.6 FRAT DE MANDIBULA;;;
S027;FRATURAS MULTIPLAS ENVOLVENDO OS OSSOS DO CRANIO E DA FACE;S02.7 FRAT MULT ENVOLV OS;;;
S028;OUTRAS FRATURAS DO CRANIO E DOS OSSOS DA FACE;S02.8 OUTR FRAT DO CRANIO;;;
S029;FRATURA DO CRANIO OU DOS OSSOS DA FACEPARTE NAO ESPECIFICADA;S02.9 FRAT DO CRANIO OU D;;;
S03;LUXACAOENTORSE OU DISTENSAO DAS ARTICULACOES E DOS LIGAMENTOS DA CABECA;S03 LUXACAO ENTORSE DIS;;;
S030;LUXACAO DO MAXILAR;S03.0 LUXACAO DO MAXILAR;;;
S031;LUXACAO DA CARTILAGEM DO SEPTO NASAL;S03.1 LUXACAO DA CARTILAG;;;
S032;LUXACAO DENTARIA;S03.2 LUXACAO DENTARIA;;;
S033;LUXACAO DE OUTRAS PARTES DA CABECA E DAS NAO ESPECIFICADAS;S03.3 LUXACAO DE OUTR PAR;;;
S034;ENTORSE E DISTENSAO DO MAXILAR;S03.4 ENTORSE E DISTENSAO;;;
S035;ENTORSE E DISTENSAO DA ARTICULACOES E DOS LIGAMENTOS DE OUTRAS LOCALIZACOES E DE LOCALIZACOES NAO ESPECIFICADAS DA CABECA;S03.5 ENTORSE DISTENS ART;;;
S04;TRAUMATISMO DOS NERVOS CRANIANOS;S04 TRAUM DOS NERVOS CR;;;
S040;TRAUMATISMO DO NERVO E DAS VIAS OPTICAS;S04.0 TRAUM DO NERVO E DA;;;
S041;TRAUMATISMO DO NERVO OCULOMOTOR;S04.1 TRAUM DO NERVO OCUL;;;
S042;TRAUMATISMO DO NERVO TROCLEAR;S04.2 TRAUM DO NERVO TROC;;;
S043;TRAUMATISMO DO NERVO TRIGEMEO;S04.3 TRAUM DO NERVO TRIG;;;
S044;TRAUMATISMO DO NERVO ABDUCENTE;S04.4 TRAUM DO NERVO ABDU;;;
S045;TRAUMATISMO DO NERVO FACIAL;S04.5 TRAUM DO NERVO FACI;;;
S046;TRAUMATISMO DO NERVO ACUSTICO;S04.6 TRAUM DO NERVO ACUS;;;
S047;TRAUMATISMO DO NERVO ACESSORIO;S04.7 TRAUM DO NERVO ACES;;;
S048;TRAUMATISMO DE OUTROS NERVOS CRANIANOS;S04.8 TRAUM DE OUTR NERVO;;;
S049;TRAUMATISMO DE NERVO CRANIANO NAO ESPECIFICADO;S04.9 TRAUM DE NERVO CRAN;;;
S05;TRAUMATISMO DO OLHO E DA ORBITA OCULAR;S05 TRAUM DO OLHO E DA;;;
S050;TRAUMATISMO DA CONJUNTIVA E ABRASAO DA CORNEA SEM MENCAO DE CORPO ESTRANHO;S05.0 TRAUM CONJ ABRASAO;;N;
S051;CONTUSAO DO GLOBO OCULAR E DOS TECIDOS DA ORBITA;S05.1 CONTUSAO DO GLOBO O;;N;
S052;LACERACAO E RUPTURA OCULAR COM PROLAPSO OU PERDA DE TECIDO INTRA OCULAR;S05.2 LACER RUPT OCULAR C;;;
S053;LACERACAO OCULAR SEM PROLAPSO OU PERDA DE TECIDO INTRA OCULAR;S05.3 LACER OCULAR S PROL;;;
S054;FERIMENTO PENETRANTE DA ORBITA COM OU SEM CORPO ESTRANHO;S05.4 FERIM PENETRANTE OR;;;
S055;FERIMENTO PENETRANTE DO GLOBO OCULAR COM CORPO ESTRANHO;S05.5 FERIM PENETR GLOBO;;;
S056;FERIMENTO PENETRANTE DO GLOBO OCULAR SEM CORPO ESTRANHO;S05.6 FERIM PENETR GLOBO;;;
S057;AVULSAO DO OLHO;S05.7 AVULSAO DO OLHO;;;
S058;OUTROS TRAUMATISMOS DO OLHO E DA ORBITA;S05.8 OUTR TRAUM DO OLHO;;N;
S059;TRAUMATISMO DO OLHO E DA ORBITANAO ESPECIFICADO;S05.9 TRAUM DO OLHO E DA;;;
S06;TRAUMATISMO INTRACRANIANO;S06 TRAUM INTRACRANIANO;;;
S060;CONCUSSAO CEREBRAL;S06.0 CONCUSSAO CEREBRAL;;;
S061;EDEMA CEREBRAL TRAUMATICO;S06.1 EDEMA CEREBRAL TRAU;;;
S062;TRAUMATISMO CEREBRAL DIFUSO;S06.2 TRAUM CEREBRAL DIFU;;;
S063;TRAUMATISMO CEREBRAL FOCAL;S06.3 TRAUM CEREBRAL FOCA;;;
S064;HEMORRAGIA EPIDURAL;S06.4 HEMORRAGIA EPIDURAL;;;
S065;HEMORRAGIA SUBDURAL DEVIDA A TRAUMATISMO;S06.5 HEMORRAGIA SUBDURAL;;;
S066;HEMORRAGIA SUBARACNOIDE DEVIDA A TRAUMATISMO;S06.6 HEMORRAGIA SUBARACN;;;
S067;TRAUMATISMO INTRACRANIANO COM COMA PROLONGADO;S06.7 TRAUM INTRACRANIANO;;;
S068;OUTROS TRAUMATISMOS INTRACRANIANOS;S06.8 OUTR TRAUM INTRACRA;;;
S069;TRAUMATISMO INTRACRANIANONAO ESPECIFICADO;S06.9 TRAUM INTRACRANIANO;;;
S07;LESOES POR ESMAGAMENTO DA CABECA;S07 LESOES P ESMAG DA C;;;
S070;LESAO POR ESMAGAMENTO DA FACE;S07.0 LESAO P ESMAG DA FA;;;
S071;LESAO POR ESMAGAMENTO DO CRANIO;S07.1 LESAO P ESMAG DO CR;;;
S078;LESAO POR ESMAGAMENTO DE OUTRAS PARTES DA CABECA;S07.8 LESAO P ESMAG DE OU;;;
S079;LESAO POR ESMAGAMENTO DA CABECAPARTE NAO ESPECIFICADA;S07.9 LESAO P ESMAG DA CA;;;
S08;AMPUTACAO TRAUMATICA DE PARTE DA CABECA;S08 AMPUT TRAUM DE PART;;;
S080;AVULSAO DO COURO CABELUDO;S08.0 AVULSAO DO COURO CA;;;
S081;AMPUTACAO TRAUMATICA DA ORELHA;S08.1 AMPUT TRAUM DA OREL;;;
S088;AMPUTACAO TRAUMATICA DE OUTRAS PARTES DA CABECA;S08.8 AMPUT TRAUM DE OUTR;;;
S089;AMPUTACAO TRAUMATICA DE PARTE NAO ESPECIFICADA DA CABECA;S08.9 AMPUT TRAUM DE PART;;;
S09;OUTROS TRAUMATISMOS DA CABECA E OS NAO ESPECIFICADOS;S09 OUTR TRAUM DA CABEC;;;
S090;TRAUMATISMO DOS VASOS SANG_INEOS DA CABECA NAO CLASSIFICADOS EM OUTRA PARTE;S09.0 TRAUM DOS VASOS SAN;;;
S091;TRAUMATISMO DOS MUSCULOS E DOS TENDOES DA CABECA;S09.1 TRAUM DOS MUSCULOS;;;
S092;RUPTURA TRAUMATICA DO TIMPANO;S09.2 RUPTURA TRAUM DO TI;;;
S097;TRAUMATISMOS MULTIPLOS DA CABECA;S09.7 TRAUM MULT DA CABEC;;;
S098;OUTROS TRAUMATISMOS ESPECIFICADOS DA CABECA;S09.8 OUTR TRAUM ESPEC DA;;;
S099;TRAUMATISMO NAO ESPECIFICADO DA CABECA;S09.9 TRAUM NE DA CABECA;;;
S10;TRAUMATISMO SUPERFICIAL DO PESCOCO;S10 TRAUM SUPERF DO PES;;;
S100;CONTUSAO DA GARGANTA;S10.0 CONTUSAO DA GARGANT;;N;
S101;OUTROS TRAUMATISMOS SUPERFICIAIS DA GARGANTA E OS NAO ESPECIFICADOS;S10.1 OUTR TRAUM SUPERF D;;N;
S107;TRAUMATISMOS SUPERFICIAIS MULTIPLOS DO PESCOCO;S10.7 TRAUM SUPERF MULT D;;N;
S108;TRAUMATISMO SUPERFICIAL DE OUTRAS LOCALIZACOES DO PESCOCO;S10.8 TRAUM SUPERF DE OUT;;N;
S109;TRAUMATISMO SUPERFICIAL DO PESCOCOPARTE NAO ESPECIFICADA;S10.9 TRAUM SUPERF DO PES;;N;
S11;FERIMENTO DO PESCOCO;S11 FERIM DO PESCOCO;;;
S110;FERIMENTO ENVOLVENDO A LARINGE E A TRAQUEIA;S11.0 FERIM ENVOLV A LARI;;;
S111;FERIMENTO DA GLANDULA TIREOIDE;S11.1 FERIM DA GLAND TIRE;;;
S112;FERIMENTO ENVOLVENDO A FARINGE E O ESOFAGO CERVICAL;S11.2 FERIM ENVOLV FARING;;;
S117;FERIMENTOS MULTIPLOS DO PESCOCO;S11.7 FERIM MULT DO PESCO;;;
S118;FERIMENTOS DE OUTRAS PARTES DO PESCOCO;S11.8 FERIM DE OUTR PARTE;;;
S119;FERIMENTOS DO PESCOCOPARTE NAO ESPECIFICADA;S11.9 FERIM DO PESCOCO PA;;;
S12;FRATURA DO PESCOCO;S12 FRAT DO PESCOCO;;;
S120;FRATURA DA PRIMEIRA VERTEBRA CERVICAL;S12.0 FRAT DA PRIMEIRA VE;;;
S121;FRATURA DA SEGUNDA VERTEBRA CERVICAL;S12.1 FRAT DA SEGUNDA VER;;;
S122;FRATURA DE OUTRAS VERTEBRAS CERVICAIS ESPECIFICADAS;S12.2 FRAT DE OUTR VERTEB;;;
S127;FRATURAS MULTIPLAS DA COLUNA CERVICAL;S12.7 FRAT MULT DA COLUNA;;;
S128;FRATURA DE OUTRAS PARTES DO PESCOCO;S12.8 FRAT DE OUTR PARTES;;;
S129;FRATURA DO PESCOCOPARTE NAO ESPECIFICADA;S12.9 FRAT DO PESCOCO PAR;;;
S13;LUXACAOENTORSE OU DISTENSAO DAS ARTICULACOES E DOS LIGAMENTOS DO PESCOCO;S13 LUXACAO ENTORSE DIS;;;
S130;RUPTURA TRAUMATICA DE DISCO INTERVERTEBRAL CERVICAL;S13.0 RUPTURA TRAUM DISCO;;;
S131;LUXACAO DE VERTEBRA CERVICAL;S13.1 LUXACAO DE VERTEBRA;;;
S132;LUXACAO DE OUTRAS PARTES DO PESCOCO E DAS NAO ESPECIFICADAS;S13.2 LUXACAO DE OUTR PAR;;;
S133;LUXACOES MULTIPLAS DO PESCOCO;S13.3 LUXACOES MULT DO PE;;;
S134;DISTENSAO E ENTORSE DA COLUNA CERVICAL;S13.4 DISTENSAO E ENTORSE;;;
S135;DISTENSAO E ENTORSE DA REGIAO TIREOIDIANA;S13.5 DISTENSAO E ENTORSE;;;
S136;DISTENSAO E ENTORSE DE ARTICULACOES E DE LIGAMENTOS DE OUTRAS LOCALIZACOES E DAS NAO ESPECIFICADAS DO PESCOCO;S13.6 DISTENS ENTORSE ART;;;
S14;TRAUMATISMO DE NERVOS E DA MEDULA ESPINHAL AO NIVEL CERVICAL;S14 TRAUM NERVOS MEDULA;;;
S140;CONCUSSAO E EDEMA DA MEDULA CERVICAL;S14.0 CONCUSSAO E EDEMA D;;;
S141;OUTROS TRAUMATISMOS E OS NAO ESPECIFICADOS DA MEDULA CERVICAL;S14.1 OUTR TRAUM E OS NE;;;
S142;TRAUMATISMO DA RAIZ NERVOSA DA COLUNA CERVICAL;S14.2 TRAUM DA RAIZ NERVO;;;
S143;TRAUMATISMO DO PLEXO BRAQUIAL;S14.3 TRAUM DO PLEXO BRAQ;;;
S144;TRAUMATISMO DOS NERVOS PERIFERICOS DO PESCOCO;S14.4 TRAUM DOS NERVOS PE;;;
S145;TRAUMATISMO DOS NERVOS SIMPATICOS DO PESCOCO;S14.5 TRAUM DOS NERVOS SI;;;
S146;TRAUMATISMO DE OUTROS NERVOS E DOS NAO ESPECIFICADOS DO PESCOCO;S14.6 TRAUM DE OUTR NERVO;;;
S15;TRAUMATISMO DOS VASOS SANG_INEOS AO NIVEL DO PESCOCO;S15 TRAUM DOS VASOS SAN;;;
S150;TRAUMATISMO DA ARTERIA CAROTIDA;S15.0 TRAUM DA ARTERIA CA;;;
S151;TRAUMATISMO DA ARTERIA VERTEBRAL;S15.1 TRAUM DA ARTERIA VE;;;
S152;TRAUMATISMO DA VEIA JUGULAR EXTERNA;S15.2 TRAUM DA VEIA JUGUL;;;
S153;TRAUMATISMO DA VEIA JUGULAR INTERNA;S15.3 TRAUM DA VEIA JUGUL;;;
S157;TRAUMATISMO DE MULTIPLOS VASOS SANG_INEOS AO NIVEL DO PESCOCO;S15.7 TRAUM DE MULT VASOS;;;
S158;TRAUMATISMO DE OUTROS VASOS SANG_INEOS AO NIVEL DO PESCOCO;S15.8 TRAUM DE OUTR VASOS;;;
S159;TRAUMATISMO DE VASOS SANG_INEOS NAO ESPECIFICADOS AO NIVEL DO PESCOCO;S15.9 TRAUM DE VASOS SANG;;;
S16;TRAUMATISMO DE TENDOES E DE MUSCULOS DO PESCOCO;S16 TRAUM DE TENDOES E;;;
S16;TRAUMATISMO DE TENDOES E DE MUSCULOS DO PESCOCO;S16 TRAUM DE TENDOES E;;;
S17;LESOES POR ESMAGAMENTO DO PESCOCO;S17 LESOES P ESMAG DO P;;;
S170;LESAO POR ESMAGAMENTO DA LARINGE E DA TRAQUEIA;S17.0 LESAO P ESMAG DA LA;;;
S178;LESAO POR ESMAGAMENTO DE OUTRAS PARTES DO PESCOCO;S17.8 LESAO P ESMAG DE OU;;;
S179;LESAO POR ESMAGAMENTO DO PESCOCOPARTE NAO ESPECIFICADA;S17.9 LESAO P ESMAG DO PE;;;
S18;AMPUTACAO TRAUMATICA AO NIVEL DO PESCOCO;S18 AMPUT TRAUM AO NIVE;;;
S18;AMPUTACAO TRAUMATICA AO NIVEL DO PESCOCO;S18 AMPUT TRAUM AO NIVE;;;
S19;OUTROS TRAUMATISMOS DO PESCOCO E OS NAO ESPECIFICADOS;S19 OUTR TRAUM DO PESCO;;;
S197;TRAUMATISMOS MULTIPLOS DO PESCOCO;S19.7 TRAUM MULT DO PESCO;;;
S198;OUTROS TRAUMATISMOS ESPECIFICADOS DO PESCOCO;S19.8 OUTR TRAUM ESPEC DO;;;
S199;TRAUMATISMO NAO ESPECIFICADO DO PESCOCO;S19.9 TRAUM NE DO PESCOCO;;;
S20;TRAUMATISMO SUPERFICIAL DO TORAX;S20 TRAUM SUPERF DO TOR;;;
S200;CONTUSAO DA MAMA;S20.0 CONTUSAO DA MAMA;;N;
S201;OUTROS TRAUMATISMOS SUPERFICIAIS DA MAMA E OS NAO ESPECIFICADOS;S20.1 OUTR TRAUM SUPERF D;;N;
S202;CONTUSAO DO TORAX;S20.2 CONTUSAO DO TORAX;;N;
S203;OUTROS TRAUMATISMOS SUPERFICIAIS DA PAREDE ANTERIOR DO TORAX;S20.3 OUTR TRAUM SUPERF D;;N;
S204;OUTROS TRAUMATISMOS SUPERFICIAIS DA PAREDE POSTERIOR DO TORAX;S20.4 OUTR TRAUM SUPERF D;;N;
S207;TRAUMATISMOS SUPERFICIAIS MULTIPLOS DO TORAX;S20.7 TRAUM SUPERF MULT D;;N;
S208;TRAUMATISMO SUPERFICIAL DE OUTRAS PARTES ESPECIFICADAS DO TORAX E DAS NAO ESPECIFICADAS;S20.8 TRAUM SUPERF DE OUT;;N;
S21;FERIMENTO DO TORAX;S21 FERIM DO TORAX;;;
S210;FERIMENTO DA MAMA;S21.0 FERIM DA MAMA;;;
S211;FERIMENTO DA PAREDE ANTERIOR DO TORAX;S21.1 FERIM DA PAREDE ANT;;;
S212;FERIMENTO DA PAREDE POSTERIOR DO TORAX;S21.2 FERIM DA PAREDE POS;;;
S217;FERIMENTOS MULTIPLOS DA PAREDE TORACICA;S21.7 FERIM MULT DA PARED;;;
S218;FERIMENTO DE OUTRAS PARTES DO TORAX;S21.8 FERIM DE OUTR PARTE;;;
S219;FERIMENTO DO TORAX PARTE NAO ESPECIFICADA;S21.9 FERIM DO TORAX PART;;;
S22;FRATURA DE COSTELA S ESTERNO E COLUNA TORACICA;S22 FRAT DE COSTELAS ES;;;
S220;FRATURA DE VERTEBRA TORACICA;S22.0 FRAT DE VERTEBRA TO;;;
S221;FRATURAS MULTIPLAS DA COLUNA TORACICA;S22.1 FRAT MULT DA COLUNA;;;
S222;FRATURA DO ESTERNO;S22.2 FRAT DO ESTERNO;;;
S223;FRATURA DE COSTELA;S22.3 FRAT DE COSTELA;;;
S224;FRATURAS MULTIPLAS DE COSTELAS;S22.4 FRAT MULT DE COSTEL;;;
S225;TORAX FUNDIDOOSCILANTE;S22.5 TORAX FUNDIDO;;;
S228;FRATURAS DE OUTRAS PARTES DOS OSSOS DO TORAX;S22.8 FRAT DE OUTR PARTES;;;
S229;FRATURA DOS OSSOS DO TORAXPARTE NAO ESPECIFICADA;S22.9 FRAT DOS OSSOS DO T;;;
S23;LUXACAOENTORSE E DISTENSAO DE ARTICULACOES E DOS LIGAMENTOS DO TORAX;S23 LUXACAO ENTORSE DIS;;;
S230;RUPTURA TRAUMATICA DE DISCO INTERVERTEBRAL TORACICO;S23.0 RUPTURA TRAUM DISCO;;;
S231;LUXACAO DE VERTEBRA TORACICA;S23.1 LUXACAO DE VERTEBRA;;;
S232;LUXACAO DE OUTRAS PARTES DO TORAX E DAS NAO ESPECIFICADAS;S23.2 LUXACAO DE OUTR PAR;;;
S233;ENTORSE E DISTENSAO DA COLUNA TORACICA;S23.3 ENTORSE E DISTENSAO;;;
S234;ENTORSE E DISTENSAO DAS COSTELAS E DO ESTERNO;S23.4 ENTORSE E DISTENSAO;;;
S235;ENTORSE E DISTENSAO DE OUTRAS PARTES DO TORAX E DE PARTES NAO ESPECIFICADAS;S23.5 ENTORSE DISTENSAO O;;;
S24;TRAUMATISMOS DE NERVOS E DA MEDULA ESPINHAL AO NIVEL DO TORAX;S24 TRAUM NERVOS E MEDU;;;
S240;CONCUSSAO E EDEMA DA MEDULA ESPINHAL TORACICA;S24.0 CONCUSSAO E EDEMA M;;;
S241;OUTROS TRAUMATISMOS DA MEDULA ESPINHAL TORACICA E OS NAO ESPECIFICADOS;S24.1 OUTR TRAUM MEDULA E;;;
S242;TRAUMATISMO DA RAIZ DE NERVO DA COLUNA TORACICA;S24.2 TRAUM DA RAIZ DE NE;;;
S243;TRAUMATISMO DE NERVOS PERIFERICOS DO TORAX;S24.3 TRAUM DE NERVOS PER;;;
S244;TRAUMATISMO DE NERVOS SIMPATICOS DO TORAX;S24.4 TRAUM DE NERVOS SIM;;;
S245;TRAUMATISMO DE OUTROS NERVOS DO TORAX;S24.5 TRAUM DE OUTR NERVO;;;
S246;TRAUMATISMO DE NERVO DO TORAX NAO ESPECIFICADO;S24.6 TRAUM DE NERVO DO T;;;
S25;TRAUMATISMO DE VASOS SANG_INEOS DO TORAX;S25 TRAUM DE VASOS SANG;;;
S250;TRAUMATISMO DA AORTA TORACICA;S25.0 TRAUM DA AORTA TORA;;;
S251;TRAUMATISMO DA ARTERIA SUBCLAVIA OU INOMINADABRAQUIOCEFALICA;S25.1 TRAUM DA ARTERIA SU;;;
S252;TRAUMATISMO DA VEIA CAVA SUPERIOR;S25.2 TRAUM DA VEIA CAVA;;;
S253;TRAUMATISMO DA VEIA SUBCLAVIA OU INOMINADABRAQUIOCEFALICA;S25.3 TRAUM DA VEIA SUBCL;;;
S254;TRAUMATISMO DE VASOS SANG_INEOS PULMONARES;S25.4 TRAUM DE VASOS SANG;;;
S255;TRAUMATISMO DE VASOS SANG_INEOS INTERCOSTAIS;S25.5 TRAUM DE VASOS SANG;;;
S257;TRAUMATISMO DE MULTIPLOS VASOS SANG_INEOS DO TORAX;S25.7 TRAUM DE MULT VASOS;;;
S258;TRAUMATISMO DE OUTROS VASOS SANG_INEOS DO TORAX;S25.8 TRAUM DE OUTR VASOS;;;
S259;TRAUMATISMO DE VASO SANG_INEO NAO ESPECIFICADO DO TORAX;S25.9 TRAUM DE VASO SANGU;;;
S26;TRAUMATISMO DO CORACAO;S26 TRAUM DO CORACAO;;;
S260;TRAUMATISMO DO CORACAO COM HEMOPERICARDIO;S26.0 TRAUM DO CORACAO C;;;
S268;OUTROS TRAUMATISMOS DO CORACAO;S26.8 OUTR TRAUM DO CORAC;;;
S269;TRAUMATISMO DO CORACAO NAO ESPECIFICADO;S26.9 TRAUM DO CORACAO NE;;;
S27;TRAUMATISMO DE OUTROS ORGAOS INTRATORACICOS E DOS NAO ESPECIFICADOS;S27 TRAUM DE OUTR ORGAO;;;
S270;PNEUMOTORAX TRAUMATICO;S27.0 PNEUMOTORAX TRAUM;;;
S271;HEMOTORAX TRAUMATICO;S27.1 HEMOTORAX TRAUM;;;
S272;HEMOPNEUMOTORAX TRAUMATICO;S27.2 HEMOPNEUMOTORAX TRA;;;
S273;OUTROS TRAUMATISMOS DO PULMAO;S27.3 OUTR TRAUM DO PULMA;;;
S274;TRAUMATISMO DOS BRONQUIOS;S27.4 TRAUM DOS BRONQUIOS;;;
S275;TRAUMATISMO DA TRAQUEIA TORACICA;S27.5 TRAUM DA TRAQUEIA T;;;
S276;TRAUMATISMO DA PLEURA;S27.6 TRAUM DA PLEURA;;;
S277;TRAUMATISMOS MULTIPLOS DE ORGAOS INTRATORACICOS;S27.7 TRAUM MULT DE ORGAO;;;
S278;TRAUMATISMO DE OUTROS ORGAOS INTRATORACICOS ESPECIFICADOS;S27.8 TRAUM DE OUTR ORGAO;;;
S279;TRAUMATISMO DE ORGAO INTRATORACICO NAO ESPECIFICADO;S27.9 TRAUM DE ORGAO INTR;;;
S28;LESAO POR ESMAGAMENTO DO TORAX E AMPUTACAO TRAUMATICA DE PARTE DO TORAX;S28 LESAO P ESMAG TORAX;;;
S280;ESMAGAMENTO DO TORAX;S28.0 ESMAG DO TORAX;;;
S281;AMPUTACAO TRAUMATICA DE PARTE DO TORAX;S28.1 AMPUT TRAUM DE PART;;;
S29;OUTROS TRAUMATISMOS DO TORAX E OS NAO ESPECIFICADOS;S29 OUTR TRAUM DO TORAX;;;
S290;TRAUMATISMO DE MUSCULO E DE TENDAO AO NIVEL TORACICO;S29.0 TRAUM DE MUSCULO E;;;
S297;TRAUMATISMOS MULTIPLOS DO TORAX;S29.7 TRAUM MULT DO TORAX;;;
S298;OUTROS TRAUMATISMOS ESPECIFICADOS DO TORAX;S29.8 OUTR TRAUM ESPEC DO;;;
S299;TRAUMATISMO NAO ESPECIFICADO DO TORAX;S29.9 TRAUM NE DO TORAX;;;
S30;TRAUMATISMO SUPERFICIAL DO ABDOMEDO DORSO E DA PELVE;S30 TRAUM SUPERF DO ABD;;;
S300;CONTUSAO DO DORSO E DA PELVE;S30.0 CONTUSAO DO DORSO E;;N;
S301;CONTUSAO DA PAREDE ABDOMINAL;S30.1 CONTUSAO DA PAREDE;;N;
S302;CONTUSAO DOS ORGAOS GENITAIS EXTERNOS;S30.2 CONTUSAO DOS ORGAOS;;N;
S307;TRAUMATISMOS SUPERFICIAIS MULTIPLOS DO ABDOMEDO DORSO E DA PELVE;S30.7 TRAUM SUPERF MULT D;;N;
S308;OUTROS TRAUMATISMOS SUPERFICIAIS DO ABDOMEDO DORSO E DA PELVE;S30.8 OUTR TRAUM SUPERF D;;N;
S309;TRAUMATISMO SUPERFICIAL DE PARTE NAO ESPECIFICADA DO ABDOMEDO DORSO E DA PELVE;S30.9 TRAUM SUPERF PARTE;;N;
S31;FERIMENTO DO ABDOMEDO DORSO E DA PELVE;S31 FERIM DO ABDOME DO;;;
S310;FERIMENTO DO DORSO E DA PELVE;S31.0 FERIM DO DORSO E DA;;;
S311;FERIMENTO DA PAREDE ABDOMINAL;S31.1 FERIM DA PAREDE ABD;;;
S312;FERIMENTO DO PENIS;S31.2 FERIM DO PENIS;M;;
